Date,Open,High,Low,Close
2017-07-08 10-AM,2590,2601.55,2577.69,2585
2017-07-08 11-AM,2577.69,2586.12,2569.53,2570.16
2017-07-08 12-PM,2585,2586.11,2569.77,2577.59
2017-07-08 01-PM,2570.16,2590,2570.16,2594.47
2017-07-08 02-PM,2577.59,2609,2577.11,2595.04
2017-07-08 03-PM,2594.47,2609.25,2591.03,2601.95
2017-07-08 04-PM,2595.04,2610,2590.01,2599
2017-07-08 05-PM,2601.95,2609,2580,2587
2017-07-08 06-PM,2599,2600,2587,2606.98
2017-07-08 07-PM,2587,2606.98,2587,2590.1
2017-07-08 08-PM,2606.98,2608.89,2590.02,2591.45
2017-07-08 09-PM,2590.1,2605.8,2590.1,2605
2017-07-08 10-PM,2591.45,2605.79,2591,2591.12
2017-07-08 11-PM,2605,2605.72,2591.01,2600
2017-07-09 12-AM,2591.12,2605.61,2591.04,2601.82
2017-07-09 01-AM,2600,2605.79,2593.01,2600.3
2017-07-09 02-AM,2601.82,2602.88,2593.01,2604.97
2017-07-09 03-AM,2600.3,2604.97,2591,2600
2017-07-09 04-AM,2604.97,2604.97,2590.2,2596.7
2017-07-09 05-AM,2600,2600,2591,2599
2017-07-09 06-AM,2596.7,2601,2590.2,2590.2
2017-07-09 07-AM,2599,2605.74,2590.2,2583.12
2017-07-09 08-AM,2590.2,2596.96,2582.27,2583.85
2017-07-09 09-AM,2583.12,2597.88,2583.12,2596
2017-07-09 10-AM,2583.85,2597,2583.85,2592.7
2017-07-09 11-AM,2596,2614,2584.01,2591.48
2017-07-09 12-PM,2592.7,2608.3,2588.11,2600
2017-07-09 01-PM,2591.48,2609.99,2591.48,2605
2017-07-09 02-PM,2600,2607.99,2591.25,2593.06
2017-07-09 03-PM,2605,2605,2591.29,2594.22
2017-07-09 04-PM,2593.06,2610.46,2591.27,2594.36
2017-07-09 05-PM,2594.22,2610.47,2594.22,2602.5
2017-07-09 06-PM,2594.36,2613.93,2594.36,2600
2017-07-09 07-PM,2602.5,2607.5,2591.51,2595
2017-07-09 08-PM,2600,2610,2590.01,2597
2017-07-09 09-PM,2595,2604.8,2590,2592.5
2017-07-09 10-PM,2597,2604.8,2590.01,2599.99
2017-07-09 11-PM,2592.5,2600,2590,2593
2017-07-10 12-AM,2599.99,2599.99,2590,2592
2017-07-10 01-AM,2593,2604.74,2590.01,2596.14
2017-07-10 02-AM,2592,2598.9,2590.01,2594.46
2017-07-10 03-AM,2596.14,2607.98,2590.02,2595
2017-07-10 04-AM,2594.46,2602.47,2590.01,2585
2017-07-10 05-AM,2595,2601.95,2585,2579.99
2017-07-10 06-AM,2585,2593.99,2575,2582.95
2017-07-10 07-AM,2579.99,2583.37,2572,2579.32
2017-07-10 08-AM,2582.95,2585.94,2572,2578.72
2017-07-10 09-AM,2579.32,2591.99,2572,2573
2017-07-10 10-AM,2578.72,2600,2573,2562
2017-07-10 11-AM,2573,2577.65,2562,2552.1
2017-07-10 12-PM,2562,2577.64,2551,2520.21
2017-07-10 01-PM,2552.1,2567.99,2520,2530
2017-07-10 02-PM,2520.21,2550.78,2520,2529.65
2017-07-10 03-PM,2530,2548.2,2510.1,2542.31
2017-07-10 04-PM,2529.65,2565,2526.97,2520.1
2017-07-10 05-PM,2542.31,2559.29,2520,2502.7
2017-07-10 06-PM,2520.1,2526.49,2502.7,2514
2017-07-10 07-PM,2502.7,2518.79,2500,2485
2017-07-10 08-PM,2514,2514,2485,2475
2017-07-10 09-PM,2485,2534.25,2467,2460
2017-07-10 10-PM,2475,2476.87,2460,2479.97
2017-07-10 11-PM,2460,2480,2415,2474
2017-07-11 12-AM,2479.97,2485.26,2452.01,2485.26
2017-07-11 01-AM,2474,2485.26,2471.9,2464.2
2017-07-11 02-AM,2485.26,2485.26,2464,2420.54
2017-07-11 03-AM,2464.2,2470.68,2420.54,2437.11
2017-07-11 04-AM,2420.54,2454.6,2328.8,2422.29
2017-07-11 05-AM,2437.11,2455,2414.99,2353.79
2017-07-11 06-AM,2422.29,2422.29,2341,2395.29
2017-07-11 07-AM,2353.79,2435,2328.8,2414.98
2017-07-11 08-AM,2395.29,2461.27,2386.08,2480.3
2017-07-11 09-AM,2414.98,2489.11,2399.14,2429.05
2017-07-11 10-AM,2480.3,2500,2410,2432
2017-07-11 11-AM,2429.05,2469,2412.02,2491
2017-07-11 12-PM,2432,2491,2432,2455
2017-07-11 01-PM,2491,2500,2445.97,2462.99
2017-07-11 02-PM,2455,2469,2420,2415.97
2017-07-11 03-PM,2462.99,2462.99,2415.96,2454.6
2017-07-11 04-PM,2415.97,2470,2400,2444.68
2017-07-11 05-PM,2454.6,2469.9,2432,2407.53
2017-07-11 06-PM,2444.68,2454.48,2388,2386.94
2017-07-11 07-PM,2407.53,2453.96,2357,2394.99
2017-07-11 08-PM,2386.94,2396,2370.1,2415
2017-07-11 09-PM,2394.99,2420.53,2382.43,2424.41
2017-07-11 10-PM,2415,2459.46,2400.01,2400.41
2017-07-11 11-PM,2424.41,2429,2399.99,2386.88
2017-07-12 12-AM,2400.41,2400.91,2350,2377.23
2017-07-12 01-AM,2386.88,2400,2342.08,2372.63
2017-07-12 02-AM,2377.23,2377.23,2342.08,2350
2017-07-12 03-AM,2372.63,2401.23,2350,2405
2017-07-12 04-AM,2350,2410,2350,2409
2017-07-12 05-AM,2405,2409.99,2390.79,2415
2017-07-12 06-AM,2409,2415,2385,2400.03
2017-07-12 07-AM,2415,2415,2400.01,2413.99
2017-07-12 08-AM,2400.03,2414,2400,2407.73
2017-07-12 09-AM,2413.99,2436.02,2407.51,2441.41
2017-07-12 10-AM,2407.73,2442.59,2407.73,2425.6
2017-07-12 11-AM,2441.41,2442.59,2420,2409.99
2017-07-12 12-PM,2425.6,2442.38,2404,2405.65
2017-07-12 01-PM,2409.99,2425,2400.13,2410
2017-07-12 02-PM,2405.65,2426,2400,2430
2017-07-12 03-PM,2410,2457.99,2410,2441.41
2017-07-12 04-PM,2430,2465,2422.26,2445
2017-07-12 05-PM,2441.41,2465,2426,2426.44
2017-07-12 06-PM,2445,2445,2426.21,2440
2017-07-12 07-PM,2426.44,2440,2426.22,2428.31
2017-07-12 08-PM,2440,2454.4,2426.22,2424
2017-07-12 09-PM,2428.31,2438.99,2390,2426.01
2017-07-12 10-PM,2424,2440.99,2415.96,2415
2017-07-12 11-PM,2426.01,2439.72,2415,2424.41
2017-07-13 12-AM,2415,2441.1,2415,2425
2017-07-13 01-AM,2424.41,2437.31,2415.73,2432.32
2017-07-13 02-AM,2425,2437.5,2417.42,2438.99
2017-07-13 03-AM,2432.32,2438.99,2424.41,2441
2017-07-13 04-AM,2438.99,2451,2425.48,2416.17
2017-07-13 05-AM,2441,2441.51,2402,2419.22
2017-07-13 06-AM,2416.17,2419.99,2406.55,2425.82
2017-07-13 07-AM,2419.22,2427.92,2410.19,2418
2017-07-13 08-AM,2425.82,2426.99,2414.5,2442.15
2017-07-13 09-AM,2418,2443.96,2418,2430
2017-07-13 10-AM,2442.15,2442.15,2424.41,2428
2017-07-13 11-AM,2430,2436,2410,2437.48
2017-07-13 12-PM,2428,2437.5,2420.73,2437.48
2017-07-13 01-PM,2437.48,2437.48,2437.48,2437.48
2017-07-13 02-PM,2437.48,2437.48,2437.48,2387.2
2017-07-13 03-PM,2437.48,2437.5,2375,2398.4
2017-07-13 04-PM,2387.2,2403.31,2382.43,2367.3
2017-07-13 05-PM,2398.4,2400,2357.61,2371.89
2017-07-13 06-PM,2367.3,2385.1,2357.61,2378.61
2017-07-13 07-PM,2371.89,2378.61,2358.03,2372
2017-07-13 08-PM,2378.61,2386.92,2371.97,2365.84
2017-07-13 09-PM,2372,2381.5,2365.01,2366.3
2017-07-13 10-PM,2365.84,2388.99,2365,2378.61
2017-07-13 11-PM,2366.3,2378.61,2365.29,2371.9
2017-07-14 12-AM,2378.61,2382.49,2365.32,2351.03
2017-07-14 01-AM,2371.9,2375.28,2351.03,2353.49
2017-07-14 02-AM,2351.03,2367.1,2345.98,2360.69
2017-07-14 03-AM,2353.49,2362.05,2344.8,2360.04
2017-07-14 04-AM,2360.69,2370.32,2348.67,2358.6
2017-07-14 05-AM,2360.04,2367,2355.29,2379.88
2017-07-14 06-AM,2358.6,2379.9,2355.1,2362.99
2017-07-14 07-AM,2379.88,2383.2,2361.86,2370
2017-07-14 08-AM,2362.99,2385.7,2361.86,2366
2017-07-14 09-AM,2370,2382.49,2361.86,2364.7
2017-07-14 10-AM,2366,2371,2362,2365.9
2017-07-14 11-AM,2364.7,2390.54,2364.7,2311.4
2017-07-14 12-PM,2365.9,2366.43,2308.73,2310.2
2017-07-14 01-PM,2311.4,2327.67,2308.7,2318.8
2017-07-14 02-PM,2310.2,2319,2293.72,2305
2017-07-14 03-PM,2318.8,2321,2293.31,2280
2017-07-14 04-PM,2305,2312.86,2276.41,2273
2017-07-14 05-PM,2280,2300.06,2270.2,2287
2017-07-14 06-PM,2273,2296.83,2270.21,2278.22
2017-07-14 07-PM,2287,2300,2270.89,2250
2017-07-14 08-PM,2278.22,2284.39,2250,2244
2017-07-14 09-PM,2250,2264.99,2244,2284.65
2017-07-14 10-PM,2244,2330,2244,2281.99
2017-07-14 11-PM,2284.65,2334.4,2272.1,2279.71
2017-07-15 12-AM,2281.99,2287.99,2269.14,2280.01
2017-07-15 01-AM,2279.71,2300,2279.71,2245.08
2017-07-15 02-AM,2280.01,2280.01,2245,2221
2017-07-15 03-AM,2245.08,2257,2221,2230
2017-07-15 04-AM,2221,2287.47,2201,2219.99
2017-07-15 05-AM,2230,2241.23,2206.05,2197.4
2017-07-15 06-AM,2219.99,2219.99,2185,2177.29
2017-07-15 07-AM,2197.4,2197.41,2165,2159
2017-07-15 08-AM,2177.29,2177.29,2151.1,2157.01
2017-07-15 09-AM,2159,2179.99,2144.63,2158.7
2017-07-15 10-AM,2157.01,2180,2137.76,2125
2017-07-15 11-AM,2158.7,2158.7,2112,2072.01
2017-07-15 12-PM,2125,2125,2052,2072.01
2017-07-15 01-PM,2072.01,2119.48,2062.06,2025
2017-07-15 02-PM,2072.01,2074.76,2000,2021.91
2017-07-15 03-PM,2025,2030.15,2010,2082.79
2017-07-15 04-PM,2021.91,2120,2011,2103.4
2017-07-15 05-PM,2082.79,2132,2074.17,2110
2017-07-15 06-PM,2103.4,2133.37,2103.01,2139.58
2017-07-15 07-PM,2110,2145,2110,2079
2017-07-15 08-PM,2139.58,2164.38,2070,2078.84
2017-07-15 09-PM,2079,2090.07,2063.04,2115.46
2017-07-15 10-PM,2078.84,2157.09,2078.84,2078.8
2017-07-15 11-PM,2115.46,2122.46,2069.03,2050
2017-07-16 12-AM,2078.8,2078.8,2050,2055.7
2017-07-16 01-AM,2050,2062.99,2035.71,2080
2017-07-16 02-AM,2055.7,2082.63,2051.48,2081.19
2017-07-16 03-AM,2080,2101,2076.99,2048
2017-07-16 04-AM,2081.19,2088.49,2045,2039.5
2017-07-16 05-AM,2048,2061.98,2039.5,2045.91
2017-07-16 06-AM,2039.5,2052.58,2013.22,2022.1
2017-07-16 07-AM,2045.91,2045.91,2020.28,2014.49
2017-07-16 08-AM,2022.1,2037.87,2002.08,1953.53
2017-07-16 09-AM,2014.49,2038.29,1953.53,1941
2017-07-16 10-AM,1953.53,1970,1940,1901
2017-07-16 11-AM,1941,1947,1901,1860
2017-07-16 12-PM,1901,1930,1843.13,1915
2017-07-16 01-PM,1860,1941.92,1840,1903.78
2017-07-16 02-PM,1915,1930,1877.34,1910.65
2017-07-16 03-PM,1903.78,1952,1893.01,1960
2017-07-16 04-PM,1910.65,1961.44,1910.63,1984.99
2017-07-16 05-PM,1960,1990,1940.01,1955
2017-07-16 06-PM,1984.99,1990,1920.01,1915.2
2017-07-16 07-PM,1955,1961.44,1900,1921.2
2017-07-16 08-PM,1915.2,1967.96,1915.2,1923.83
2017-07-16 09-PM,1921.2,1940.99,1907.68,1970
2017-07-16 10-PM,1923.83,1970,1920.89,1957.62
2017-07-16 11-PM,1970,2000,1944.36,1958.54
2017-07-17 12-AM,1957.62,1968.29,1944.79,1996
2017-07-17 01-AM,1958.54,1996,1957.16,1980.6
2017-07-17 02-AM,1996,1996,1960,1980.01
2017-07-17 03-AM,1980.6,1988.99,1975.02,2045.42
2017-07-17 04-AM,1980.01,2045.42,1980.01,2058
2017-07-17 05-AM,2045.42,2058,2031.01,2100
2017-07-17 06-AM,2058,2117,2050.41,2179
2017-07-17 07-AM,2100,2220.91,2091,2165.21
2017-07-17 08-AM,2179,2188.88,2165,2120.01
2017-07-17 09-AM,2165.21,2170,2100,2072.69
2017-07-17 10-AM,2120.01,2132.86,2060,2014.36
2017-07-17 11-AM,2072.69,2080,2014.36,2042
2017-07-17 12-PM,2014.36,2044.42,2014.36,2042.99
2017-07-17 01-PM,2042,2070,2022,2100
2017-07-17 02-PM,2042.99,2100.1,2032,2087
2017-07-17 03-PM,2100,2125.54,2077.53,2082
2017-07-17 04-PM,2087,2095,2080,2141.43
2017-07-17 05-PM,2082,2150,2081.84,2141
2017-07-17 06-PM,2141.43,2167,2121.55,2129.98
2017-07-17 07-PM,2141,2165,2122.42,2140
2017-07-17 08-PM,2129.98,2165,2126.19,2150
2017-07-17 09-PM,2140,2150,2138,2162
2017-07-17 10-PM,2150,2162,2144,2179.5
2017-07-17 11-PM,2162,2185.63,2160.3,2181.26
2017-07-18 12-AM,2179.5,2190,2173,2170.54
2017-07-18 01-AM,2181.26,2189.62,2138.12,2170
2017-07-18 02-AM,2170.54,2185.19,2169,2179.89
2017-07-18 03-AM,2170,2190.53,2166.49,2189.99
2017-07-18 04-AM,2179.89,2189.99,2152,2223.11
2017-07-18 05-AM,2189.99,2227.56,2166.81,2235
2017-07-18 06-AM,2223.11,2259.45,2215,2260.01
2017-07-18 07-AM,2235,2300,2228,2245.3
2017-07-18 08-AM,2260.01,2273.76,2245,2250
2017-07-18 09-AM,2245.3,2256.98,2227,2245
2017-07-18 10-AM,2250,2264.99,2232,2275.02
2017-07-18 11-AM,2245,2286,2240.01,2278
2017-07-18 12-PM,2275.02,2293.98,2275,2311.89
2017-07-18 01-PM,2278,2314,2277.05,2329
2017-07-18 02-PM,2311.89,2329,2280,2330
2017-07-18 03-PM,2329,2338,2300,2265
2017-07-18 04-PM,2330,2334.99,2252.55,2304.2
2017-07-18 05-PM,2265,2334.94,2265,2305
2017-07-18 06-PM,2304.2,2350.14,2300.01,2314
2017-07-18 07-PM,2305,2329.99,2300,2339.94
2017-07-18 08-PM,2314,2356.38,2308,2327.69
2017-07-18 09-PM,2339.94,2339.94,2296.4,2267.86
2017-07-18 10-PM,2327.69,2327.69,2255,2284.98
2017-07-18 11-PM,2267.86,2287.39,2258.57,2271.22
2017-07-19 12-AM,2284.98,2295.38,2255.01,2258.77
2017-07-19 01-AM,2271.22,2271.44,2251,2251.32
2017-07-19 02-AM,2258.77,2271.46,2251.32,2300
2017-07-19 03-AM,2251.32,2308,2251.32,2298
2017-07-19 04-AM,2300,2309.99,2298,2320
2017-07-19 05-AM,2298,2320,2298,2344.42
2017-07-19 06-AM,2320,2360,2320,2382.88
2017-07-19 07-AM,2344.42,2382.88,2335.01,2378.01
2017-07-19 08-AM,2382.88,2385.18,2371.2,2355
2017-07-19 09-AM,2378.01,2383,2347.93,2361
2017-07-19 10-AM,2355,2378.98,2355,2353.36
2017-07-19 11-AM,2361,2385.33,2341.62,2327.07
2017-07-19 12-PM,2353.36,2362,2321,2300
2017-07-19 01-PM,2327.07,2339.98,2283.06,2332.2
2017-07-19 02-PM,2300,2352.22,2280,2315.25
2017-07-19 03-PM,2332.2,2362,2315.25,2300.1
2017-07-19 04-PM,2315.25,2341.03,2285.1,2307.13
2017-07-19 05-PM,2300.1,2327.69,2300.1,2305.58
2017-07-19 06-PM,2307.13,2334.51,2299,2276.98
2017-07-19 07-PM,2305.58,2310,2257.2,2278.03
2017-07-19 08-PM,2276.98,2287.38,2252,2299
2017-07-19 09-PM,2278.03,2316.97,2275.12,2303.42
2017-07-19 10-PM,2299,2303.42,2280.36,2301.83
2017-07-19 11-PM,2303.42,2311.49,2283.08,2307.8
2017-07-20 12-AM,2301.83,2310.97,2291.05,2296.38
2017-07-20 01-AM,2307.8,2311.14,2292.32,2320
2017-07-20 02-AM,2296.38,2325,2294,2327.99
2017-07-20 03-AM,2320,2335,2308,2320
2017-07-20 04-AM,2327.99,2328,2316.5,2320.14
2017-07-20 05-AM,2320,2334.99,2320,2320.01
2017-07-20 06-AM,2320.14,2335.29,2320,2306.09
2017-07-20 07-AM,2320.01,2326.99,2299.08,2321.99
2017-07-20 08-AM,2306.09,2321.99,2300.23,2303.28
2017-07-20 09-AM,2321.99,2321.99,2301.4,2316
2017-07-20 10-AM,2303.28,2341.49,2301.4,2415
2017-07-20 11-AM,2316,2450,2310,2480
2017-07-20 12-PM,2415,2518,2403.9,2549.1
2017-07-20 01-PM,2480,2574.99,2480,2528.7
2017-07-20 02-PM,2549.1,2580,2523.7,2580
2017-07-20 03-PM,2528.7,2615,2528.7,2580.03
2017-07-20 04-PM,2580,2624.82,2571.03,2571
2017-07-20 05-PM,2580.03,2612.16,2550,2600
2017-07-20 06-PM,2571,2610,2520,2626.98
