Date,Open,High,Low,Close,Volume From,Volume To
2017-07-06 03-AM,2601.05,2614.97,2601,2601,43101,2616.24
2017-07-06 04-AM,2601,2614.99,2601,2601.04,43221,13518.07
2017-07-06 05-AM,2601.04,2610,2600.05,2610,43344,4942.15
2017-07-06 06-AM,2610,2610,2600.05,2600.05,45017,11031.33
2017-07-06 07-AM,2600.05,2610,2600.05,2610,41821,18571.73
2017-07-06 08-AM,2610,2615,2600.05,2605,35643,23366.66
2017-07-06 09-AM,2605,2614.98,2600.05,2610,41334,8137.32
2017-07-06 10-AM,2610,2610,2600.05,2600.05,43165,16392.42
2017-07-06 11-AM,2600.05,2609,2600.05,2600.05,14062,19198.69
2017-07-06 12-PM,2600.05,2613.05,2600.05,2600.1,43252,4161.29
2017-07-06 01-PM,2600.1,2610,2600.1,2600.1,47178,8563.1
2017-07-06 02-PM,2600.1,2613.05,2600.1,2610,26877,22741.9
2017-07-06 03-PM,2610,2613.05,2601.01,2610.4,13.47,35110.99
2017-07-06 04-PM,2610.4,2612.33,2600.2,2610,43348,13257.56
2017-07-06 05-PM,2610,2612.33,2602.5,2606.08,17.31,45130.69
2017-07-06 06-PM,2606.08,2612.32,2602.5,2611.97,43170,29443.87
2017-07-06 07-PM,2611.97,2619,2602.54,2605.5,23621,25165.19
2017-07-06 08-PM,2605.5,2615,2604.6,2605,43169,26876.63
2017-07-06 09-PM,2605,2617,2605,2605.26,43196,16731.78
2017-07-06 10-PM,2605.26,2616.78,2605,2606.36,25.44,66382.95
2017-07-06 11-PM,2606.36,2614.99,2605.5,2607,43294,34122.71
2017-07-07 12-AM,2607,2613.99,2607,2610.37,18963,32646.4
2017-07-07 01-AM,2610.37,2611.98,2605,2607.45,23.24,60630.24
2017-07-07 02-AM,2607.45,2611.99,2605,2611.99,43405,29165.02
2017-07-07 03-AM,2611.99,2614,2605,2614,0.4425,1153.92
2017-07-07 04-AM,2614,2614,2602.59,2609.9,43405,2887.05
2017-07-07 05-AM,2609.9,2610,2600.05,2609.49,43286,14844.16
2017-07-07 06-AM,2609.49,2609.49,2600,2600,43168,24218.38
2017-07-07 07-AM,2600,2600,2584.9,2586.23,22706,9393.44
2017-07-07 08-AM,2586.23,2609.46,2586.23,2591.82,25294,12192.46
2017-07-07 09-AM,2591.82,2608.11,2589.11,2592,46844,11143.81
2017-07-07 10-AM,2592,2607.91,2587,2594.31,42095,10767.2
2017-07-07 11-AM,2594.31,2599.99,2580,2580,43356,33874.58
2017-07-07 12-PM,2580,2594,2570,2570,43195,13008.79
2017-07-07 01-PM,2570,2585,2537,2553.97,36.94,94025.97
2017-07-07 02-PM,2553.97,2565,2553.97,2565,43140,23587.92
2017-07-07 03-PM,2565,2565,2540.02,2557.72,35186,15184.28
2017-07-07 04-PM,2557.72,2569.98,2556.51,2566,0.8632,2208.22
2017-07-07 05-PM,2566,2581.99,2556.51,2580,0.5988,1540.45
2017-07-07 06-PM,2580,2581.99,2570.1,2571.06,0.6682,1722.8
2017-07-07 07-PM,2571.06,2588,2565,2588,32690,20302.01
2017-07-07 08-PM,2588,2595,2566,2586.65,42309,28789.85
2017-07-07 09-PM,2586.65,2598,2566.05,2576.15,23193,19716.38
2017-07-07 10-PM,2576.15,2589.15,2576.09,2589,45870,21278.05
2017-07-07 11-PM,2589,2589,2567.29,2568.71,24.61,63518.91
2017-07-08 12-AM,2568.71,2583.98,2567,2569.52,27576,19942.6
2017-07-08 01-AM,2569.52,2583.78,2545.96,2577.55,17.37,44668.81
